,Unnamed: 0,account_id,match_id,team_id,team_name,player_id,player_name,player_match_minutes,xG Per Shot,Non-Penalty xG,Shots,player_match_goals,player_match_np_goals,player_match_xa,player_match_key_passes,player_match_op_key_passes,player_match_assists,player_match_through_balls,player_match_passes_into_box,player_match_op_passes_into_box,player_match_touches_inside_box,player_match_tackles,player_match_interceptions,player_match_possession,player_match_dribbled_past,player_match_dribbles_faced,player_match_dribbles,player_match_challenge_ratio,player_match_fouls,player_match_dispossessions,player_match_long_balls,player_match_successful_long_balls,player_match_long_ball_ratio,player_match_shots_blocked,player_match_clearances,player_match_aerials,player_match_successful_aerials,player_match_aerial_ratio,player_match_passes,player_match_successful_passes,player_match_passing_ratio,player_match_op_passes,player_match_forward_passes,player_match_backward_passes,player_match_sideways_passes,player_match_op_f3_passes,player_match_op_f3_forward_passes,player_match_op_f3_backward_passes,player_match_op_f3_sideways_passes,player_match_np_shots_on_target,player_match_crosses,player_match_successful_crosses,player_match_crossing_ratio,player_match_penalties_won,player_match_passes_inside_box,player_match_op_xa,player_match_op_assists,player_match_pressured_long_balls,player_match_unpressured_long_balls,player_match_aggressive_actions,player_match_turnovers,player_match_crosses_into_box,player_match_sp_xa,player_match_op_shots,player_match_touches,player_match_pressure_regains,player_match_box_cross_ratio,Deep Progressions,player_match_shot_touch_ratio,player_match_fouls_won,player_match_xgchain,player_match_op_xgchain,player_match_xgbuildup,player_match_op_xgbuildup,player_match_xgchain_per_possession,player_match_op_xgchain_per_possession,player_match_xgbuildup_per_possession,player_match_op_xgbuildup_per_possession,player_match_pressures,player_match_pressure_duration_total,player_match_pressure_duration_avg,player_match_pressured_action_fails,player_match_counterpressures,player_match_counterpressure_duration_total,player_match_counterpressure_duration_avg,player_match_counterpressured_action_fails,player_match_obv,player_match_obv_pass,player_match_obv_shot,player_match_obv_defensive_action,player_match_obv_dribble_carry,player_match_obv_gk,Deep Completions,player_match_ball_recoveries,player_match_np_psxg,player_match_penalties_faced,player_match_penalties_conceded,player_match_fhalf_ball_recoveries,player_match_average_space_received_in,player_match_average_fhalf_space_received_in,player_match_average_f3_space_received_in,player_match_ball_receipts_in_space_10,player_match_ball_receipts_in_space_2,player_match_ball_receipts_in_space_5,player_match_fhalf_ball_receipts_in_space_10,player_match_fhalf_ball_receipts_in_space_2,player_match_fhalf_ball_receipts_in_space_5,player_match_f3_ball_receipts_in_space_10,player_match_f3_ball_receipts_in_space_2,player_match_f3_ball_receipts_in_space_5,player_match_lbp,player_match_lbp_completed,player_match_fhalf_lbp_completed,player_match_f3_lbp_completed,player_match_fhalf_lbp,player_match_f3_lbp,player_match_obv_lbp,player_match_fhalf_obv_lbp,player_match_f3_obv_lbp,player_match_lbp_received,player_match_fhalf_lbp_received,player_match_f3_lbp_received,player_match_average_lbp_to_space_distance,player_match_fhalf_average_lbp_to_space_distance,player_match_f3_average_lbp_to_space_distance,player_match_lbp_to_space_10_received,player_match_fhalf_lbp_to_space_10_received,player_match_f3_lbp_to_space_10_received,player_match_lbp_to_space_2_received,player_match_fhalf_lbp_to_space_2_received,player_match_f3_lbp_to_space_2_received,player_match_lbp_to_space_5_received,player_match_fhalf_lbp_to_space_5_received,player_match_f3_lbp_to_space_5_received,player_match_average_lbp_to_space_received_distance,player_match_fhalf_average_lbp_to_space_received_distance,player_match_f3_average_lbp_to_space_received_distance,player_match_lbp_to_space_10,player_match_fhalf_lbp_to_space_10,player_match_f3_lbp_to_space_10,player_match_lbp_to_space_2,player_match_fhalf_lbp_to_space_2,player_match_f3_lbp_to_space_2,player_match_lbp_to_space_5,player_match_fhalf_lbp_to_space_5,player_match_f3_lbp_to_space_5,player_match_passes_360,player_match_obv_passes_360,player_match_fhalf_passes_360,player_match_fhalf_obv_passes_360,player_match_f3_passes_360,player_match_f3_obv_passes_360,player_match_ball_receipts_360,player_match_fhalf_ball_receipts_360,player_match_f3_ball_receipts_360,player_match_360_minutes,player_match_defensive_actions,opponent,game_week
0,0.0,461,3895359,73,Rotherham United,9913,Lee Peltier,12.65,0.6176866888999939,0.6176867,1,1,1,0.0,0,0,0,0,0,0,1,2,0,0.29262674,0,0,0,1.0,0,0,1,1,1.0,0,0,1,1,1.0,7,4,0.5714285714285714,6,4,1,2,2,2,0,0,1,0,0,,0,0,0.0,0,0,1,3,0,0,0.0,0,8,0,,2,0.0,0,0.6176867,0.6176867,0.6176867,0.6176867,0.0686318543222215,0.0686318543222215,0.0686318543222215,0.0686318543222215,2.0,4.040888,2.0204440355300903,0.0,0.0,,,0.0,0.26659864,0.017723445,0.24197662,0.008071741,-0.0011732127,,0,4,0.8508649,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.65,4,Stoke City,0
1,1.0,461,3895359,73,Rotherham United,13249,Fred Onyedinma,87.71667,0.0712828040122985,0.071282804,1,0,0,0.0,0,0,0,0,0,0,2,3,0,0.29262674,1,1,1,0.75,0,3,1,0,0.0,0,0,5,3,0.6,12,7,0.5833333333333334,11,1,1,10,4,0,0,4,0,1,0,0.0,0,0,0.0,0,0,1,4,2,0,0.0,0,22,3,,2,0.0,3,0.16200842,0.12039493,0.16200842,0.12039493,0.0073640190742232,0.0054724968292496,0.0073640190742232,0.0054724968292496,18.0,25.792072,1.4328930659426584,7.0,6.0,10.158608,1.6931013464927671,2.0,-0.07928828,-0.04458114,-0.077105045,0.003991315,0.0384066,,0,8,0.0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.71667,21,Stoke City,0
2,2.0,461,3895359,30,Stoke City,3954,Josh Laurent,107.183334,,0.0,0,0,0,0.11001822,1,1,1,0,1,1,2,5,3,0.70737326,0,0,0,1.0,1,2,8,4,0.5,0,2,8,5,0.625,58,48,0.8275862068965517,56,18,7,33,14,2,2,10,0,1,1,1.0,0,0,0.11001822,1,3,7,12,1,1,0.0,0,102,5,1.0,5,0.0,3,0.6888582,0.6888582,0.6888582,0.57883996,0.0132472732892403,0.0132472732892403,0.0132472732892403,0.0111315376483477,15.0,12.036783,0.8024522761503855,0.0,5.0,3.7775512,0.7555102109909058,0.0,0.32270548,0.15233162,,0.047303427,0.123070456,,1,14,0.0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.183334,21,Rotherham United,0
3,3.0,461,3895359,73,Rotherham United,9924,Sean Morrison,53.95,,0.0,0,0,0,0.0,0,0,0,0,0,0,0,2,0,0.29262674,0,1,0,1.0,1,0,0,0,,0,3,4,4,1.0,10,7,0.7,10,6,1,3,1,1,0,0,0,0,0,,0,0,0.0,0,3,0,5,0,0,0.0,0,15,2,,0,0.0,0,0.0072867214,0.0072867214,0.0072867214,0.0072867214,0.0005605170288338,0.0005605170288338,0.0005605170288338,0.0005605170288338,11.0,9.927375,0.9024886339902878,4.0,1.0,0.28277,0.2827700078487396,1.0,0.008388013,0.0007478115,,0.0036721854,0.0039680162,,0,7,0.0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.95,14,Stoke City,0
4,4.0,461,3895359,73,Rotherham United,10486,Tyler Blackett,107.183334,,0.0,0,0,0,0.0,0,0,0,0,0,0,0,6,2,0.29262674,1,2,0,0.8571428571428571,3,0,9,3,0.3333333333333333,2,10,5,3,0.6,29,17,0.5862068965517241,27,10,1,18,4,2,0,2,0,1,0,0.0,0,0,0.0,0,11,8,19,0,0,0.0,0,50,8,,5,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,17.105955,0.8145694235960642,3.0,3.0,2.7998052,0.9332683285077412,0.0,0.21420906,0.035605885,,0.17256355,0.006039613,,0,11,0.0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.183334,30,Stoke City,0
5,5.0,461,3895359,30,Stoke City,4575,Enda Stevens,107.183334,,0.0,0,0,0,0.0,0,0,0,0,1,1,1,2,1,0.70737326,1,1,0,0.6666666666666666,0,3,11,5,0.4545454545454545,0,2,6,3,0.5,82,62,0.7560975609756098,69,22,6,54,14,5,1,8,0,4,0,0.0,0,0,0.0,0,4,9,4,0,0,0.0,0,126,4,0.0,6,0.0,0,0.75929403,0.75929403,0.75929403,0.75929403,0.0111660887213314,0.0111660887213314,0.0111660887213314,0.0111660887213314,15.0,9.754613,0.6503075997034709,2.0,1.0,0.463534,0.4635339975357055,0.0,-0.08373986,0.19926804,,-0.32747552,0.044467658,,0,14,0.0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.183334,17,Rotherham United,0
6,6.0,461,3895359,30,Stoke City,11815,Daniel Johnson,99.683334,,0.0,0,0,0,0.09588261,2,1,0,0,6,2,0,0,2,0.70737326,0,0,0,,0,1,8,7,0.875,0,0,2,0,0.0,59,46,0.7796610169491526,46,11,13,35,20,4,3,13,0,5,3,0.6,0,0,0.04452396,0,0,8,5,2,2,0.051358644,0,91,3,0.3333333333333333,8,0.0,1,1.6855416,0.78767526,1.1799011,0.7431513,0.0351154506206512,0.0164099012811978,0.0245812733968098,0.015482318898042,15.0,11.4517145,0.7634475976228714,3.0,3.0,3.20088,1.0669600168863933,2.0,0.20201527,0.10656675,,-0.0007619355,0.09621043,,0,9,0.0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.683334,15,Rotherham United,0
7,7.0,461,3895359,73,Rotherham United,4424,Cafú,77.03333,0.0160034764558076,0.016003476,1,0,0,0.11289629,2,1,0,0,1,0,1,0,3,0.29262674,0,0,2,,2,4,2,1,0.5,0,1,2,0,0.0,20,14,0.7,18,3,3,14,5,0,1,4,0,0,0,,0,1,0.04161349,0,2,1,4,1,0,0.071282804,1,38,0,0.0,1,0.0263157894736842,0,0.7465865,0.057616964,0.6593002,0.04161349,0.0311077708999315,0.0024007068326075,0.0274708420038223,0.0017338953912258,5.0,3.652184,0.7304367899894715,2.0,1.0,0.759825,0.7598249912261963,0.0,0.80264074,0.5979275,-0.03639758,0.086584084,0.15452668,,1,11,0.0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.03333,7,Stoke City,0
8,8.0,461,3895359,30,Stoke City,16288,Wesley,7.516667,,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.70737326,0,0,0,,1,2,0,0,,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.0,0,0,0,0,1,0,0.0,0,5,0,,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.467189,0.4671890139579773,0.0,0.0,,,0.0,-0.019121852,-0.016408766,,-0.0038995026,0.0011864174,,0,0,0.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.516667,2,Rotherham United,0
9,9.0,461,3895359,30,Stoke City,9004,Ben Pearson,87.71667,,0.0,0,0,0,0.0,0,0,0,0,0,0,0,1,1,0.70737326,1,1,0,0.5,2,1,3,1,0.3333333333333333,1,2,0,0,,33,29,0.8787878787878788,32,5,2,26,9,1,1,7,0,0,0,,0,0,0.0,0,3,2,8,1,0,0.0,0,55,4,,3,0.0,0,0.26607928,0.26607928,0.26607928,0.26607928,0.0083149774000048,0.0083149774000048,0.0083149774000048,0.0083149774000048,21.0,20.595839,0.9807542392185756,3.0,6.0,8.387433,1.397905503710111,1.0,0.020238744,-0.007816368,,-0.009242051,0.037297152,,0,13,0.0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.71667,24,Rotherham United,0
